JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Temecula,10/15/2021 - 10/15/2029,TRUE,64,1359,4.7%,126,801,15.7%,2,778,0.3%,1773,1255,141.3%
Temple City,10/15/2021 - 10/15/2029,TRUE,134,630,21.3%,,350,,,369,,99,837,11.8%
Thousand Oaks,10/15/2021 - 10/15/2029,TRUE,,735,,,494,,,532,,229,860,26.6%
Tiburon,1/31/2023 - 1/31/2031,TRUE,,193,,,110,,,93,,2,243,0.8%
Torrance,10/15/2021 - 10/15/2029,TRUE,,1621,,,846,,,853,,380,1619,23.5%
Tracy,12/31/2023 - 12/31/2031,TRUE,,2567,,,2306,,,1454,,,2504,
Trinidad,8/31/2019 - 8/31/2027,TRUE,,4,,,4,,,3,,,7,
Trinity County,8/31/2019 - 6/30/2024,TRUE,,1,,,1,,,0,,73,0,Infinity
Truckee,8/15/2019 - 8/15/2027,TRUE,121,187,64.7%,77,140,55.0%,57,128,44.5%,474,300,158.0%
Tulare,12/31/2023 - 12/31/2031,TRUE,,1435,,,884,,,677,,,1753,
Tulare County,12/31/2023 - 12/31/2031,TRUE,,1563,,,963,,,1870,,,4847,
Tulelake,2/15/2023 - 2/15/2031,TRUE,,1,,,1,,,0,,,0,
Tuolumne County,8/31/2019 - 6/30/2024,TRUE,,125,,,93,,,87,,143,220,65.0%
Turlock,12/31/2023 - 12/31/2031,TRUE,,1305,,,903,,,1096,,,2498,
